Ceyrek,Brut_Kar_Marji_%,FaalGid_BrutKar_%,FinansGid_Gelir_%,Cari_Oran,NetBorc_FAVOK,ROE_%,Hisse
2020-01-26,64.9,50.87,0.42,7.67,-1.82,7.79,NVDA
2020-04-26,65.06,51.3,0.81,10.29,-1.78,7.0,NVDA
2020-07-26,58.85,71.38,1.4,6.09,1.04,4.47,NVDA
2020-10-25,62.63,52.77,1.12,3.92,0.8,8.71,NVDA
2021-01-31,63.08,52.25,1.06,4.09,0.95,8.62,NVDA
2021-05-02,64.11,46.1,0.94,4.53,0.71,10.18,NVDA
2021-08-01,64.78,42.02,0.92,5.8,0.65,11.23,NVDA
2021-10-31,65.2,42.32,0.87,7.14,0.88,10.35,NVDA
2022-01-30,65.41,40.59,0.8,6.65,0.76,11.28,NVDA
2022-05-01,65.53,65.6,0.82,5.32,0.88,6.15,NVDA
2022-07-31,43.48,82.88,0.97,3.62,2.36,2.75,NVDA
2022-10-30,53.57,81.08,1.1,3.39,2.06,3.19,NVDA
2023-01-29,63.34,67.23,1.06,3.52,1.22,6.4,NVDA
2023-04-30,64.63,53.96,0.92,3.43,0.66,8.33,NVDA
2023-07-30,70.05,28.13,0.48,2.79,0.17,22.5,NVDA
2023-10-29,73.95,22.26,0.35,3.59,0.13,27.79,NVDA
2024-01-28,75.97,18.92,0.29,4.17,0.06,28.58,NVDA
2024-04-28,78.35,17.14,0.25,3.53,0.05,30.28,NVDA
2024-07-28,75.15,17.42,0.2,4.27,0.02,28.54,NVDA
2024-10-27,74.56,16.39,0.17,4.1,0.01,29.3,NVDA
2025-01-26,73.03,16.32,0.16,4.44,0.02,27.85,NVDA
2025-04-27,60.52,18.86,0.14,3.39,-0.05,22.39,NVDA
2025-07-27,72.42,15.99,0.13,4.21,-0.01,26.39,NVDA
2025-10-26,73.41,13.95,0.11,4.47,-0.0,26.84,NVDA
2026-01-25,75.0,13.3,0.11,3.91,0.0,27.31,NVDA
